City,DISTANCE (Kms),City,DISTANCE (Kms),City,DISTANCE (Kms)
Agartala,2928,Guntur,32,Nellore,224
Agra,1563,Gurgaon,1759,Panaji,873
Ahmedabad,1475,Guwahati,2290,Paradwip,931
Aizawl,2554,Gwalior,1372,Pathankot,1830
Ajmer,1829,Haldia,1232,Patna,1626
Akola,766,Hasan,740,Pondicherry,593
Aligarh,1646,Hissar,1862,Porbandar,1869
Allahabad,1423,Hubli,586,Pune,815
Ambala,1957,Hyderabad,267,Purulia,1274
Amritsar,2212,Imphal,2774,Raipur,965
Asansol,1380,Indore,1127,Rajkot,1691
Aurangabad,821,Jabalpur,951,Rameswaram,1020
Bhaktiyarpur,1593,Jaipur,1623,Ranchi,1363
Bangalore,633,Jaisalmer,2002,Ranipettai,540
Barauni,1704,Jalandhar,2129,Raurkela,1140
Barddhaman,1295,Jammu,2348,Rohtak,1760
Bareilly,1775,Jamnagar,1777,Sagar,1077
Belgaum,780,Jhamshedpur,1201,Saharanpur,1896
Bellary,476,Jhansi,1275,Salem,754
Bhagalpur,1608,Jodhpur,1782,Sambalpuri,992
Bhavnagar,1662,Jorhat,2593,Shahjahanpur,1734
Bhopal,1039,Kakinada,223,Siliguri,1815
Bhubaneshwar,807,Kandla,1840,Shillong,2390
Bikaner,2062,Kanniyakumari,1111,Shimla,2108
Bilaspur,1031,Kanpur,1489,Shivpuri,1350
Kolkata,1248,Kochi,1112,Silchar,2616
Chandigarh,2003,Kohima,2629,Solapur,572
Chennai,396,Kohlapur,819,Srinagar,2641
Chittardurga,604,Kota,1381,Surat,1184
Coimbatore,919,Kozhikode,988,Thane,957
Cuttack,832,Krishnagiri,690,Thanjavur,770
Dehru Dun,1944,Kurnool,319,Thiruvananthapuram,1136
Delhi,1766,Lucknow,1566,Thrissur,1033
Dhanbad,1357,Ludhiana,2070,Trichchirappalli,744
Dhule,964,Madurai,872,Tirunelveli,1026
Dibrugarh,2729,Mangalore,980,Tirupati,409
Dimapur,2564,Meerut,1701,Tuticorin,1007
Dindigul,823,Moradabad,1763,Udaipur,1659
Durgapur,1420,Motihari,1792,Ujjain,1225
Ganganagar,2027,Mumbai,978,Ulhasnagar,951
Gangtok,1929,Muzaffarnagar,1752,Vadodara,1303
Gaya,1581,Muzaffarpur,1807,Varanasi,1417
Ghaziabad,1784,Mysore,772,Vishakhapatnam,382
Ghazipur,1489,Nagpur,687,Warangal,237
Gorakhpur,1657,Nanded,551
Gulbarga,481,Nashik,1017
